time,reference,output,control
0,1,0.002,2
0.001,1,0.003998,2
0.002,1,0.005994,2
0.003,1,0.00798801,2
0.004,1,0.00998002,2
0.005,1,0.01197,2
0.006,1,0.0139581,2
0.007,1,0.0159441,2
0.008,1,0.0179282,2
0.009,1,0.0199102,2
0.01,1,0.0218903,2
0.011,1,0.0238684,2
0.012,1,0.0258446,2
0.013,1,0.0278187,2
0.014,1,0.0297909,2
0.015,1,0.0317611,2
0.016,1,0.0337294,2
0.017,1,0.0356956,2
0.018,1,0.0376599,2
0.019,1,0.0396223,2
0.02,1,0.0415826,2
0.021,1,0.0435411,2
0.022,1,0.0454975,2
0.023,1,0.047452,2
0.024,1,0.0494046,2
0.025,1,0.0513552,2
0.026,1,0.0533038,2
0.027,1,0.0552505,2
0.028,1,0.0571953,2
0.029,1,0.0591381,2
0.03,1,0.0610789,2
0.031,1,0.0630178,2
0.032,1,0.0649548,2
0.033,1,0.0668899,2
0.034,1,0.068823,2
0.035,1,0.0707542,2
0.036,1,0.0726834,2
0.037,1,0.0746107,2
0.038,1,0.0765361,2
0.039,1,0.0784596,2
0.04,1,0.0803811,2
0.041,1,0.0823007,2
0.042,1,0.0842184,2
0.043,1,0.0861342,2
0.044,1,0.0880481,2
0.045,1,0.08996,2
0.046,1,0.0918701,2
0.047,1,0.0937782,2
0.048,1,0.0956844,2
0.049,1,0.0975887,2
0.05,1,0.0994912,2
0.051,1,0.101392,2
0.052,1,0.10329,2
0.053,1,0.105187,2
0.054,1,0.107082,2
0.055,1,0.108975,2
0.056,1,0.110866,2
0.057,1,0.112755,2
0.058,1,0.114642,2
0.059,1,0.116527,2
0.06,1,0.118411,2
0.061,1,0.120293,2
0.062,1,0.122172,2
0.063,1,0.12405,2
0.064,1,0.125926,2
0.065,1,0.1278,2
0.066,1,0.129672,2
0.067,1,0.131543,2
0.068,1,0.133411,2
0.069,1,0.135278,2
0.07,1,0.137142,2
0.071,1,0.139005,2
0.072,1,0.140866,2
0.073,1,0.142725,2
0.074,1,0.144583,2
0.075,1,0.146438,2
0.076,1,0.148292,2
0.077,1,0.150143,2
0.078,1,0.151993,2
0.079,1,0.153841,2
0.08,1,0.155687,2
0.081,1,0.157532,2
0.082,1,0.159374,2
0.083,1,0.161215,2
0.084,1,0.163054,2
0.085,1,0.164891,2
0.086,1,0.166726,2
0.087,1,0.168559,2
0.088,1,0.17039,2
0.089,1,0.17222,2
0.09,1,0.174048,2
0.091,1,0.175874,2
0.092,1,0.177698,2
0.093,1,0.17952,2
0.094,1,0.181341,2
0.095,1,0.183159,2
0.096,1,0.184976,2
0.097,1,0.186791,2
0.098,1,0.188604,2
0.099,1,0.190416,2
0.1,1,0.192225,2
0.101,1,0.194033,2
0.102,1,0.195839,2
0.103,1,0.197643,2
0.104,1,0.199446,2
0.105,1,0.201246,2
0.106,1,0.203045,2
0.107,1,0.204842,2
0.108,1,0.206637,2
0.109,1,0.20843,2
0.11,1,0.210222,2
0.111,1,0.212012,2
0.112,1,0.2138,2
0.113,1,0.215586,2
0.114,1,0.21737,2
0.115,1,0.219153,2
0.116,1,0.220934,2
0.117,1,0.222713,2
0.118,1,0.22449,2
0.119,1,0.226266,2
0.12,1,0.228039,2
0.121,1,0.229811,2
0.122,1,0.231582,2
0.123,1,0.23335,2
0.124,1,0.235117,2
0.125,1,0.236881,2
0.126,1,0.238645,2
0.127,1,0.240406,2
0.128,1,0.242166,2
0.129,1,0.243923,2
0.13,1,0.245679,2
0.131,1,0.247434,2
0.132,1,0.249186,2
0.133,1,0.250937,2
0.134,1,0.252686,2
0.135,1,0.254434,2
0.136,1,0.256179,2
0.137,1,0.257923,2
0.138,1,0.259665,2
0.139,1,0.261405,2
0.14,1,0.263144,2
0.141,1,0.264881,2
0.142,1,0.266616,2
0.143,1,0.268349,2
0.144,1,0.270081,2
0.145,1,0.271811,2
0.146,1,0.273539,2
0.147,1,0.275265,2
0.148,1,0.27699,2
0.149,1,0.278713,2
0.15,1,0.280435,2
0.151,1,0.282154,2
0.152,1,0.283872,2
0.153,1,0.285588,2
0.154,1,0.287302,2
0.155,1,0.289015,2
0.156,1,0.290726,2
0.157,1,0.292433,1.99785
0.158,1,0.294133,1.99217
0.159,1,0.295825,1.98658
0.16,1,0.297511,1.98101
0.161,1,0.299189,1.97547
0.162,1,0.300859,1.96996
0.163,1,0.302523,1.96447
0.164,1,0.304179,1.95901
0.165,1,0.305829,1.95357
0.166,1,0.307471,1.94816
0.167,1,0.309107,1.94277
0.168,1,0.310735,1.93741
0.169,1,0.312356,1.93207
0.17,1,0.313971,1.92676
0.171,1,0.315578,1.92147
0.172,1,0.317179,1.91621
0.173,1,0.318772,1.91097
0.174,1,0.320359,1.90576
0.175,1,0.32194,1.90057
0.176,1,0.323513,1.8954
0.177,1,0.32508,1.89026
0.178,1,0.32664,1.88514
0.179,1,0.328193,1.88005
0.18,1,0.32974,1.87498
0.181,1,0.33128,1.86993
0.182,1,0.332814,1.86491
0.183,1,0.334341,1.85991
0.184,1,0.335862,1.85493
0.185,1,0.337376,1.84998
0.186,1,0.338883,1.84505
0.187,1,0.340385,1.84014
0.188,1,0.34188,1.83525
0.189,1,0.343368,1.83039
0.19,1,0.34485,1.82555
0.191,1,0.346326,1.82073
0.192,1,0.347796,1.81594
0.193,1,0.349259,1.81117
0.194,1,0.350716,1.80642
0.195,1,0.352167,1.80169
0.196,1,0.353612,1.79698
0.197,1,0.355051,1.7923
0.198,1,0.356483,1.78764
0.199,1,0.35791,1.78299
0.2,1,0.35933,1.77838
0.201,1,0.360745,1.77378
0.202,1,0.362153,1.7692
0.203,1,0.363556,1.76465
0.204,1,0.364952,1.76011
0.205,1,0.366343,1.7556
0.206,1,0.367728,1.75111
0.207,1,0.369107,1.74664
0.208,1,0.37048,1.74219
0.209,1,0.371847,1.73776
0.21,1,0.373208,1.73335
0.211,1,0.374564,1.72896
0.212,1,0.375914,1.72459
0.213,1,0.377259,1.72024
0.214,1,0.378597,1.71592
0.215,1,0.37993,1.71161
0.216,1,0.381258,1.70732
0.217,1,0.382579,1.70306
0.218,1,0.383896,1.69881
0.219,1,0.385206,1.69458
0.22,1,0.386512,1.69037
0.221,1,0.387811,1.68619
0.222,1,0.389105,1.68202
0.223,1,0.390394,1.67787
0.224,1,0.391677,1.67374
0.225,1,0.392955,1.66963
0.226,1,0.394228,1.66554
0.227,1,0.395495,1.66146
0.228,1,0.396757,1.65741
0.229,1,0.398014,1.65338
0.23,1,0.399265,1.64936
0.231,1,0.400511,1.64536
0.232,1,0.401752,1.64138
0.233,1,0.402988,1.63742
0.234,1,0.404218,1.63348
0.235,1,0.405444,1.62956
0.236,1,0.406664,1.62566
0.237,1,0.407879,1.62177
0.238,1,0.409089,1.6179
0.239,1,0.410294,1.61405
0.24,1,0.411494,1.61022
0.241,1,0.412689,1.6064
0.242,1,0.413879,1.60261
0.243,1,0.415064,1.59883
0.244,1,0.416244,1.59507
0.245,1,0.417419,1.59132
0.246,1,0.418589,1.5876
0.247,1,0.419754,1.58389
0.248,1,0.420915,1.5802
0.249,1,0.42207,1.57652
0.25,1,0.423221,1.57287
0.251,1,0.424367,1.56923
0.252,1,0.425508,1.5656
0.253,1,0.426645,1.562
0.254,1,0.427777,1.55841
0.255,1,0.428904,1.55484
0.256,1,0.430026,1.55128
0.257,1,0.431144,1.54774
0.258,1,0.432257,1.54422
0.259,1,0.433365,1.54071
0.26,1,0.434469,1.53722
0.261,1,0.435568,1.53375
0.262,1,0.436663,1.53029
0.263,1,0.437753,1.52685
0.264,1,0.438839,1.52342
0.265,1,0.43992,1.52002
0.266,1,0.440997,1.51662
0.267,1,0.442069,1.51325
0.268,1,0.443137,1.50988
0.269,1,0.4442,1.50654
0.27,1,0.445259,1.50321
0.271,1,0.446314,1.49989
0.272,1,0.447364,1.49659
0.273,1,0.44841,1.49331
0.274,1,0.449452,1.49004
0.275,1,0.450489,1.48679
0.276,1,0.451522,1.48355
0.277,1,0.452551,1.48033
0.278,1,0.453576,1.47712
0.279,1,0.454596,1.47393
0.28,1,0.455612,1.47075
0.281,1,0.456624,1.46759
0.282,1,0.457632,1.46444
0.283,1,0.458636,1.46131
0.284,1,0.459635,1.45819
0.285,1,0.460631,1.45509
0.286,1,0.461622,1.452
0.287,1,0.462609,1.44892
0.288,1,0.463592,1.44586
0.289,1,0.464572,1.44282
0.29,1,0.465547,1.43979
0.291,1,0.466518,1.43677
0.292,1,0.467485,1.43376
0.293,1,0.468449,1.43078
0.294,1,0.469408,1.4278
0.295,1,0.470363,1.42484
0.296,1,0.471315,1.42189
0.297,1,0.472263,1.41896
0.298,1,0.473206,1.41604
0.299,1,0.474146,1.41313
0.3,1,0.475082,1.41024
0.301,1,0.476015,1.40736
0.302,1,0.476943,1.40449
0.303,1,0.477868,1.40164
0.304,1,0.478789,1.3988
0.305,1,0.479706,1.39598
0.306,1,0.480619,1.39317
0.307,1,0.481529,1.39037
0.308,1,0.482435,1.38758
0.309,1,0.483338,1.38481
0.31,1,0.484236,1.38205
0.311,1,0.485131,1.3793
0.312,1,0.486023,1.37657
0.313,1,0.486911,1.37385
0.314,1,0.487795,1.37114
0.315,1,0.488676,1.36845
0.316,1,0.489553,1.36576
0.317,1,0.490426,1.36309
0.318,1,0.491296,1.36044
0.319,1,0.492163,1.35779
0.32,1,0.493026,1.35516
0.321,1,0.493885,1.35254
0.322,1,0.494741,1.34993
0.323,1,0.495594,1.34733
0.324,1,0.496443,1.34475
0.325,1,0.497289,1.34218
0.326,1,0.498131,1.33962
0.327,1,0.49897,1.33707
0.328,1,0.499806,1.33454
0.329,1,0.500638,1.33201
0.33,1,0.501467,1.3295
0.331,1,0.502292,1.327
0.332,1,0.503114,1.32452
0.333,1,0.503933,1.32204
0.334,1,0.504749,1.31958
0.335,1,0.505561,1.31712
0.336,1,0.50637,1.31468
0.337,1,0.507176,1.31225
0.338,1,0.507979,1.30983
0.339,1,0.508778,1.30743
0.34,1,0.509575,1.30503
0.341,1,0.510368,1.30265
0.342,1,0.511158,1.30027
0.343,1,0.511944,1.29791
0.344,1,0.512728,1.29556
0.345,1,0.513509,1.29322
0.346,1,0.514286,1.29089
0.347,1,0.51506,1.28857
0.348,1,0.515831,1.28627
0.349,1,0.5166,1.28397
0.35,1,0.517365,1.28169
0.351,1,0.518127,1.27941
0.352,1,0.518886,1.27715
0.353,1,0.519642,1.2749
0.354,1,0.520395,1.27265
0.355,1,0.521145,1.27042
0.356,1,0.521892,1.2682
0.357,1,0.522636,1.26599
0.358,1,0.523377,1.26379
0.359,1,0.524115,1.2616
0.36,1,0.524851,1.25942
0.361,1,0.525583,1.25725
0.362,1,0.526313,1.25509
0.363,1,0.527039,1.25295
0.364,1,0.527763,1.25081
0.365,1,0.528484,1.24868
0.366,1,0.529202,1.24656
0.367,1,0.529917,1.24445
0.368,1,0.53063,1.24235
0.369,1,0.531339,1.24027
0.37,1,0.532046,1.23819
0.371,1,0.53275,1.23612
0.372,1,0.533451,1.23406
