time,reference,output,u_sat,u_unsat,integrator,disturbance
0,3,0.003,3,72,-0.342,0
0.001,3,0.005997,3,10.902,-0.378513,0
0.002,3,0.008991,3,10.7805,-0.414422,0
0.003,3,0.011982,3,10.6609,-0.449735,0
0.004,3,0.01497,3,10.543,-0.484462,0
0.005,3,0.0179551,3,10.427,-0.518612,0
0.006,3,0.0209371,3,10.3126,-0.552193,0
0.007,3,0.0239162,3,10.2,-0.585214,0
0.008,3,0.0268923,3,10.0891,-0.617684,0
0.009,3,0.0298654,3,9.97986,-0.64961,0
0.01,3,0.0328355,3,9.87225,-0.681001,0
0.011,3,0.0358027,3,9.76625,-0.711865,0
0.012,3,0.0387669,3,9.66185,-0.74221,0
0.013,3,0.0417281,3,9.55902,-0.772044,0
0.014,3,0.0446864,3,9.45773,-0.801375,0
0.015,3,0.0476417,3,9.35797,-0.830209,0
0.016,3,0.050594,3,9.2597,-0.858555,0
0.017,3,0.0535434,3,9.16291,-0.88642,0
0.018,3,0.0564899,3,9.06758,-0.913812,0
0.019,3,0.0594334,3,8.97368,-0.940737,0
0.02,3,0.062374,3,8.88119,-0.967202,0
0.021,3,0.0653116,3,8.79009,-0.993215,0
0.022,3,0.0682463,3,8.70036,-1.01878,0
0.023,3,0.071178,3,8.61198,-1.04391,0
0.024,3,0.0741069,3,8.52492,-1.06861,0
0.025,3,0.0770328,3,8.43918,-1.09288,0
0.026,3,0.0799557,3,8.35472,-1.11673,0
0.027,3,0.0828758,3,8.27154,-1.14016,0
0.028,3,0.0857929,3,8.1896,-1.1632,0
0.029,3,0.0887071,3,8.1089,-1.18583,0
0.03,3,0.0916184,3,8.02941,-1.20806,0
0.031,3,0.0945268,3,7.95112,-1.22991,0
0.032,3,0.0974322,3,7.874,-1.25137,0
0.033,3,0.100335,3,7.79804,-1.27246,0
0.034,3,0.103234,3,7.72323,-1.29318,0
0.035,3,0.106131,3,7.64954,-1.31353,0
0.036,3,0.109025,3,7.57696,-1.33352,0
0.037,3,0.111916,3,7.50547,-1.35316,0
0.038,3,0.114804,3,7.43505,-1.37244,0
0.039,3,0.117689,3,7.36569,-1.39139,0
0.04,3,0.120572,3,7.29738,-1.40999,0
0.041,3,0.123451,3,7.2301,-1.42826,0
0.042,3,0.126328,3,7.16382,-1.4462,0
0.043,3,0.129201,3,7.09855,-1.46382,0
0.044,3,0.132072,3,7.03425,-1.48112,0
0.045,3,0.13494,3,6.97093,-1.49811,0
0.046,3,0.137805,3,6.90855,-1.51479,0
0.047,3,0.140667,3,6.84712,-1.53116,0
0.048,3,0.143527,3,6.7866,-1.54723,0
0.049,3,0.146383,3,6.727,-1.56301,0
0.05,3,0.149237,3,6.6683,-1.5785,0
0.051,3,0.152087,3,6.61048,-1.5937,0
0.052,3,0.154935,3,6.55353,-1.60862,0
0.053,3,0.15778,3,6.49743,-1.62326,0
0.054,3,0.160623,3,6.44218,-1.63763,0
0.055,3,0.163462,3,6.38776,-1.65173,0
0.056,3,0.166299,3,6.33417,-1.66557,0
0.057,3,0.169132,3,6.28137,-1.67914,0
0.058,3,0.171963,3,6.22938,-1.69246,0
0.059,3,0.174791,3,6.17816,-1.70552,0
0.06,3,0.177616,3,6.12772,-1.71833,0
0.061,3,0.180439,3,6.07803,-1.7309,0
0.062,3,0.183258,3,6.0291,-1.74323,0
0.063,3,0.186075,3,5.9809,-1.75531,0
0.064,3,0.188889,3,5.93342,-1.76717,0
0.065,3,0.1917,3,5.88666,-1.77879,0
0.066,3,0.194508,3,5.84061,-1.79018,0
0.067,3,0.197314,3,5.79525,-1.80135,0
0.068,3,0.200117,3,5.75057,-1.8123,0
0.069,3,0.202917,3,5.70657,-1.82304,0
0.07,3,0.205714,3,5.66322,-1.83356,0
0.071,3,0.208508,3,5.62053,-1.84387,0
0.072,3,0.211299,3,5.57849,-1.85397,0
0.073,3,0.214088,3,5.53707,-1.86386,0
0.074,3,0.216874,3,5.49629,-1.87356,0
0.075,3,0.219657,3,5.45611,-1.88306,0
0.076,3,0.222437,3,5.41654,-1.89236,0
0.077,3,0.225215,3,5.37757,-1.90147,0
0.078,3,0.22799,3,5.33918,-1.91039,0
0.079,3,0.230762,3,5.30138,-1.91912,0
0.08,3,0.233531,3,5.26414,-1.92768,0
0.081,3,0.236298,3,5.22746,-1.93605,0
0.082,3,0.239061,3,5.19134,-1.94424,0
0.083,3,0.241822,3,5.15576,-1.95226,0
0.084,3,0.24458,3,5.12072,-1.9601,0
0.085,3,0.247336,3,5.08621,-1.96778,0
0.086,3,0.250088,3,5.05221,-1.97529,0
0.087,3,0.252838,3,5.01873,-1.98263,0
0.088,3,0.255585,3,4.98576,-1.98981,0
0.089,3,0.25833,3,4.95328,-1.99683,0
0.09,3,0.261072,3,4.92129,-2.0037,0
0.091,3,0.263811,3,4.88978,-2.01041,0
0.092,3,0.266547,3,4.85875,-2.01697,0
0.093,3,0.26928,3,4.82819,-2.02337,0
0.094,3,0.272011,3,4.79809,-2.02963,0
0.095,3,0.274739,3,4.76844,-2.03575,0
0.096,3,0.277464,3,4.73924,-2.04172,0
0.097,3,0.280187,3,4.71048,-2.04755,0
0.098,3,0.282906,3,4.68216,-2.05324,0
0.099,3,0.285624,3,4.65426,-2.05879,0
0.1,3,0.288338,3,4.62678,-2.06421,0
0.101,3,0.29105,3,4.59972,-2.0695,0
0.102,3,0.293759,3,4.57307,-2.07466,0
0.103,3,0.296465,3,4.54682,-2.07968,0
0.104,3,0.299168,3,4.52096,-2.08459,0
0.105,3,0.301869,3,4.4955,-2.08936,0
0.106,3,0.304567,3,4.47042,-2.09402,0
0.107,3,0.307263,3,4.44572,-2.09855,0
